user_id,censor_status,work_year
160672,0,10+ years
160674,1,10+ years
160676,1,10+ years
160677,1,8 years
160679,1,10+ years
160680,2,10+ years
160681,0,10+ years
160683,0,10+ years
160685,0,10+ years
160687,0,10+ years
160688,1,8 years
160689,1,9 years
160691,1,7 years
160692,0,8 years
160699,0,10+ years
160700,2,10+ years
160701,1,8 years
160702,1,10+ years
160704,2,10+ years
160707,0,10+ years
160709,2,10+ years
160715,2,6 years
160716,2,7 years
160717,2,6 years
160719,2,9 years
160721,2,10+ years
160722,1,10+ years
160723,1,10+ years
160724,2,10+ years
160725,1,10+ years
160727,1,7 years
160729,1,8 years
160733,1,10+ years
160735,2,10+ years
160736,0,10+ years
160738,1,10+ years
160743,1,10+ years
160744,0,10+ years
160746,0,6 years
160747,1,10+ years
160750,1,10+ years
160752,0,10+ years
160755,2,10+ years
160756,1,6 years
160757,1,10+ years
160760,1,8 years
160761,2,10+ years
160765,1,10+ years
160766,0,10+ years
160767,0,10+ years
160768,2,10+ years
160769,1,10+ years
160770,0,10+ years
160772,1,10+ years
160774,2,7 years
160775,1,9 years
160776,0,6 years
160777,0,8 years
160779,1,10+ years
160783,0,10+ years
160784,2,10+ years
160786,1,8 years
160787,0,10+ years
160790,1,10+ years
160792,0,10+ years
160794,1,9 years
160797,0,10+ years
160800,2,10+ years
160803,2,8 years
160807,1,10+ years
160809,1,10+ years
160810,1,9 years
160812,1,10+ years
160814,0,10+ years
160815,0,6 years
160817,1,10+ years
160818,0,7 years
160820,1,10+ years
160822,2,9 years
160826,2,8 years
160828,2,10+ years
160829,1,8 years
160830,2,8 years
160831,0,8 years
160833,1,10+ years
160834,1,6 years
160835,2,8 years
160836,1,6 years
160837,0,6 years
160838,0,7 years
160839,1,10+ years
160840,1,7 years
160842,1,10+ years
160843,2,10+ years
160846,2,10+ years
160851,1,10+ years
160852,1,10+ years
160853,2,7 years
160855,2,10+ years
160856,1,6 years
160858,2,8 years
160863,0,9 years
160864,1,8 years
160865,0,9 years
160866,2,10+ years
160868,0,8 years
160869,1,10+ years
160870,1,10+ years
160871,2,10+ years
160872,2,10+ years
160873,1,10+ years
160875,0,9 years
160876,0,8 years
160878,1,7 years
160879,1,10+ years
160881,0,10+ years
160882,2,10+ years
160883,0,10+ years
160885,0,10+ years
160887,1,10+ years
160892,0,10+ years
160893,2,8 years
160894,2,10+ years
160896,1,10+ years
160897,1,9 years
160900,0,6 years
160902,0,10+ years
160903,2,10+ years
160905,0,10+ years
160906,1,10+ years
160908,1,8 years
160910,1,10+ years
160911,0,10+ years
160912,2,10+ years
160915,1,6 years
160918,2,7 years
160923,2,6 years
160927,0,10+ years
160928,1,10+ years
160929,2,10+ years
160930,0,10+ years
160931,1,8 years
160934,2,10+ years
160939,2,10+ years
160940,0,8 years
160941,2,10+ years
160942,2,10+ years
160944,1,10+ years
160950,0,8 years
160951,2,6 years
160954,1,6 years
160957,2,10+ years
160959,1,10+ years
160963,1,10+ years
160965,2,8 years
160969,2,10+ years
160971,0,10+ years
160972,1,8 years
160976,1,10+ years
160980,0,10+ years
160984,2,10+ years
160985,2,10+ years
160986,1,9 years
160988,1,10+ years
160990,1,6 years
160994,2,10+ years
160996,2,7 years
160997,0,10+ years
161000,0,10+ years
161004,0,10+ years
161006,0,8 years
161007,1,6 years
161008,1,6 years
161009,0,10+ years
161010,1,6 years
161012,1,9 years
161014,2,10+ years
161015,0,10+ years
161016,1,10+ years
161017,1,10+ years
161018,2,6 years
161019,2,6 years
161021,1,10+ years
161023,0,9 years
161025,2,10+ years
161026,0,10+ years
161027,2,10+ years
161028,2,8 years
161033,2,10+ years
161034,1,10+ years
161035,0,10+ years
161036,1,6 years
161037,1,10+ years
161040,2,10+ years
161042,1,10+ years
161043,1,10+ years
161045,2,10+ years
161047,1,7 years
161048,0,10+ years
161050,2,8 years
161056,0,9 years
161058,1,6 years
161059,2,7 years
161062,1,9 years
161063,1,6 years
161064,0,8 years
161065,0,10+ years
161068,1,10+ years
161069,1,10+ years
161071,0,10+ years
161074,0,10+ years
161076,1,10+ years
161077,0,9 years
161078,2,10+ years
161079,2,10+ years
161081,0,10+ years
161087,1,10+ years
161089,0,10+ years
161091,2,8 years
161092,1,7 years
161093,1,10+ years
161097,2,10+ years
161104,1,8 years
161108,1,10+ years
161110,2,10+ years
161113,2,6 years
161114,2,10+ years
161116,2,7 years
161117,0,10+ years
161120,1,7 years
161124,1,10+ years
161125,0,9 years
161126,0,9 years
161129,1,6 years
161130,0,10+ years
161131,1,7 years
161133,1,10+ years
161136,1,10+ years
161137,1,10+ years
161138,0,10+ years
161139,1,10+ years
161140,0,10+ years
161143,0,10+ years
161147,2,9 years
161148,2,9 years
161149,0,7 years
161150,2,10+ years
161151,2,8 years
161153,0,10+ years
161155,1,7 years
161157,1,10+ years
161159,2,6 years
161161,1,8 years
161164,1,10+ years
161165,0,10+ years
161167,2,10+ years
161170,2,7 years
161174,0,6 years
161176,0,6 years
161177,0,6 years
161178,0,10+ years
161179,0,10+ years
161180,2,9 years
161181,1,7 years
161182,1,9 years
161184,2,6 years
161186,1,10+ years
161187,2,7 years
161188,0,10+ years
161189,1,10+ years
161190,2,6 years
161191,1,10+ years
161192,0,10+ years
161193,0,10+ years
161194,2,10+ years
161195,1,10+ years
161197,1,10+ years
161199,2,10+ years
161201,0,10+ years
161204,2,10+ years
161205,0,10+ years
161210,0,10+ years
161213,2,10+ years
161215,1,10+ years
161218,1,10+ years
161219,1,10+ years
161220,1,10+ years
161222,2,10+ years
161223,1,6 years
161224,1,10+ years
161229,2,10+ years
161230,2,10+ years
161233,1,10+ years
161234,2,10+ years
161237,1,10+ years
161241,0,10+ years
161243,0,7 years
161245,1,10+ years
161247,1,10+ years
161252,1,10+ years
161253,2,9 years
161254,1,6 years
161257,2,10+ years
161258,0,10+ years
161260,1,9 years
161261,2,10+ years
161262,2,10+ years
161264,1,10+ years
161266,0,6 years
161268,2,9 years
161272,1,10+ years
161273,0,10+ years
161274,0,8 years
161275,2,10+ years
161276,1,9 years
161277,1,9 years
161279,0,10+ years
161280,1,10+ years
161281,0,10+ years
161282,2,10+ years
161286,0,9 years
161290,1,6 years
161292,1,10+ years
161295,2,10+ years
161299,1,7 years
161300,1,10+ years
161302,1,8 years
161303,1,10+ years
161304,1,9 years
161305,2,10+ years
161307,2,6 years
161308,2,10+ years
161312,1,10+ years
161313,1,8 years
161315,1,10+ years
161318,1,10+ years
161319,2,7 years
161321,2,10+ years
161322,2,10+ years
161324,2,8 years
161326,2,10+ years
161330,2,9 years
161332,0,10+ years
161334,2,7 years
161335,2,6 years
161337,1,10+ years
161338,0,8 years
161339,0,6 years
161340,1,10+ years
161342,2,10+ years
161343,2,10+ years
161344,0,6 years
161346,1,6 years
161349,1,9 years
161351,0,10+ years
161352,1,10+ years
161353,1,6 years
161354,0,10+ years
161355,1,10+ years
161356,0,10+ years
161360,1,10+ years
161363,1,6 years
161370,0,10+ years
161373,0,10+ years
161374,0,10+ years
161376,1,9 years
161377,0,10+ years
161380,1,6 years
161381,2,10+ years
161385,1,8 years
161386,1,10+ years
161387,2,10+ years
161388,0,10+ years
161389,1,10+ years
161393,1,10+ years
161394,0,8 years
161396,1,10+ years
161402,0,10+ years
161403,1,6 years
161404,0,10+ years
161405,0,10+ years
161407,0,10+ years
161408,1,10+ years
161409,1,6 years
161411,1,10+ years
161415,0,10+ years
161416,1,10+ years
161419,2,9 years
161420,0,8 years
161421,2,10+ years
161424,2,10+ years
161426,2,10+ years
161433,0,7 years
161434,1,10+ years
161436,1,10+ years
161437,1,10+ years
161438,0,10+ years
161439,2,10+ years
161440,0,7 years
161442,0,10+ years
161445,2,9 years
161449,1,6 years
161452,1,8 years
161455,0,10+ years
161456,1,10+ years
161458,1,10+ years
161459,1,6 years
161460,1,9 years
161461,2,8 years
161463,0,10+ years
161464,0,10+ years
161468,2,10+ years
161469,1,10+ years
161470,2,10+ years
161472,0,6 years
161476,1,8 years
161479,0,6 years
161480,2,10+ years
161483,1,10+ years
161485,2,9 years
161487,1,8 years
161489,2,6 years
161490,1,10+ years
161491,0,10+ years
161492,2,8 years
161493,0,10+ years
161495,0,10+ years
161496,0,7 years
161497,1,6 years
161502,0,10+ years
161504,1,10+ years
161506,2,7 years
161507,0,10+ years
161508,1,8 years
161509,0,6 years
161510,2,10+ years
161512,2,6 years
161514,1,10+ years
161518,1,10+ years
161519,2,10+ years
161520,2,10+ years
161521,2,10+ years
161522,1,10+ years
161524,0,10+ years
161525,1,10+ years
161526,0,10+ years
161527,1,10+ years
161530,0,10+ years
161535,1,9 years
161536,1,7 years
161538,0,10+ years
161539,2,10+ years
161540,1,10+ years
161541,0,10+ years
161542,1,10+ years
161543,0,10+ years
161544,1,10+ years
161545,1,10+ years
161546,2,7 years
161550,0,10+ years
161551,0,6 years
161554,2,7 years
161555,1,10+ years
161558,1,9 years
161559,2,8 years
161560,2,10+ years
161561,2,10+ years
161564,0,6 years
161565,2,10+ years
161566,1,9 years
161567,1,10+ years
161569,2,10+ years
161571,1,10+ years
161573,2,8 years
161577,1,10+ years
161578,2,10+ years
161581,1,10+ years
161585,0,10+ years
161586,0,10+ years
161587,0,6 years
161592,0,10+ years
161594,2,9 years
161595,1,10+ years
161597,1,7 years
161598,1,10+ years
161599,1,7 years
161600,2,7 years
161602,0,10+ years
161603,2,10+ years
161604,1,10+ years
161605,2,8 years
161608,1,10+ years
161609,1,10+ years
161611,2,10+ years
161615,2,10+ years
161617,2,10+ years
161618,0,10+ years
161621,0,10+ years
161625,0,10+ years
161626,1,10+ years
161627,1,6 years
161629,1,10+ years
161630,0,10+ years
161633,1,9 years
161636,1,10+ years
161639,1,10+ years
161640,0,10+ years
161642,2,6 years
161647,2,8 years
161650,0,10+ years
161652,1,9 years
161653,1,10+ years
161657,0,10+ years
161660,2,10+ years
161662,1,7 years
161663,0,9 years
161664,2,10+ years
161670,2,8 years
161671,2,10+ years
161672,0,10+ years
161674,0,10+ years
161676,1,7 years
161680,0,10+ years
161686,2,8 years
161688,2,6 years
161689,0,8 years
161692,2,10+ years
161693,0,9 years
161695,0,10+ years
161697,0,9 years
161698,1,10+ years
161699,1,10+ years
161700,2,8 years
161701,0,8 years
161703,1,10+ years
161705,2,7 years
161706,1,10+ years
161708,2,10+ years
161709,1,10+ years
161710,2,10+ years
161711,0,7 years
161714,0,10+ years
161715,1,10+ years
161717,0,6 years
161718,2,10+ years
161720,1,10+ years
161721,1,10+ years
161723,2,10+ years
161725,2,10+ years
161727,1,10+ years
161729,2,10+ years
161730,0,6 years
161731,2,10+ years
161732,2,10+ years
161733,2,10+ years
161734,0,7 years
161735,2,9 years
161736,2,10+ years
161737,2,10+ years
161742,1,7 years
161743,2,8 years
161744,1,10+ years
161746,0,10+ years
161748,1,10+ years
161750,1,10+ years
161753,2,8 years
161755,0,8 years
161758,1,10+ years
161759,0,10+ years
161760,1,10+ years
161763,1,10+ years
161764,2,10+ years
161765,0,10+ years
161767,1,10+ years
161768,0,10+ years
161769,1,10+ years
161772,2,7 years
161773,1,10+ years
161774,1,9 years
161778,0,7 years
161779,0,8 years
161782,1,10+ years
161783,1,10+ years
161784,0,7 years
161785,1,10+ years
161787,2,6 years
161788,1,10+ years
161789,1,10+ years
161791,0,8 years
161794,0,10+ years
161795,0,10+ years
161797,2,7 years
161798,1,7 years
161800,1,9 years
161802,0,10+ years
161803,0,6 years
161805,2,7 years
161806,1,10+ years
161807,0,7 years
161810,1,10+ years
161816,2,6 years
161817,0,10+ years
161818,0,10+ years
161819,0,9 years
161823,1,10+ years
161825,0,6 years
161826,0,10+ years
161827,2,10+ years
161830,1,10+ years
161834,0,10+ years
161835,1,10+ years
161836,0,10+ years
161838,2,10+ years
161839,1,10+ years
161842,0,10+ years
161845,0,10+ years
161846,1,6 years
161847,0,9 years
161848,2,10+ years
161849,0,10+ years
161850,2,8 years
161854,1,6 years
161855,1,9 years
161860,1,10+ years
161863,0,10+ years
161864,2,9 years
161866,2,10+ years
161867,2,7 years
161868,0,10+ years
161870,1,10+ years
161873,1,10+ years
161874,1,8 years
161876,0,9 years
161879,1,10+ years
161880,2,9 years
161881,0,7 years
161884,1,6 years
161885,0,10+ years
161887,1,8 years
161888,0,10+ years
161889,0,9 years
161890,2,8 years
161891,1,7 years
161893,1,9 years
161894,2,10+ years
161895,0,10+ years
161897,1,10+ years
161900,0,9 years
161901,0,6 years
161902,0,10+ years
161903,2,6 years
161904,1,10+ years
161905,0,10+ years
161906,2,8 years
161907,1,10+ years
161908,1,8 years
161910,1,10+ years
161915,1,10+ years
161916,1,10+ years
161917,2,10+ years
161922,1,7 years
161923,0,10+ years
161925,1,10+ years
161928,0,10+ years
161929,2,10+ years
161930,1,10+ years
161931,1,7 years
161933,2,7 years
161934,0,10+ years
161935,2,10+ years
161936,1,10+ years
161937,2,10+ years
161939,0,9 years
161943,0,6 years
161944,2,10+ years
161945,2,10+ years
161946,2,10+ years
161949,1,10+ years
161950,1,10+ years
161953,2,10+ years
161954,2,6 years
161956,0,10+ years
161957,1,8 years
161958,1,8 years
161959,1,6 years
161960,1,8 years
161963,2,9 years
161964,2,10+ years
161965,2,9 years
161967,0,10+ years
161973,0,10+ years
161975,0,6 years
161976,1,10+ years
161978,2,7 years
161981,2,10+ years
161982,1,10+ years
161985,1,10+ years
161986,1,10+ years
161987,2,10+ years
161990,1,7 years
161992,2,10+ years
161993,1,10+ years
161995,2,10+ years
161997,1,10+ years
161998,0,10+ years
161999,1,9 years
162001,2,6 years
162006,2,10+ years
162009,2,10+ years
162010,1,10+ years
162012,1,9 years
162017,1,6 years
162018,0,10+ years
162019,1,7 years
162020,0,10+ years
162021,2,10+ years
162024,2,7 years
162025,2,8 years
162027,2,8 years
162028,2,8 years
162029,1,9 years
162030,2,10+ years
162031,1,8 years
162032,2,6 years
162035,1,10+ years
162040,0,10+ years
162041,1,10+ years
162042,1,10+ years
162044,0,7 years
162045,2,10+ years
162046,0,10+ years
162050,1,10+ years
162051,1,10+ years
162052,1,10+ years
162053,1,10+ years
162058,0,10+ years
162061,1,7 years
162062,0,10+ years
162064,1,8 years
162065,0,10+ years
162066,1,7 years
162067,0,10+ years
162070,2,10+ years
162074,0,6 years
162075,2,10+ years
162077,1,10+ years
162078,1,10+ years
162083,2,10+ years
162085,2,10+ years
162088,1,10+ years
162089,2,9 years
162091,1,10+ years
162092,0,10+ years
162094,2,10+ years
162095,1,10+ years
162098,2,10+ years
162099,0,8 years
162100,1,10+ years
162101,2,10+ years
162103,2,8 years
162104,2,10+ years
162105,1,8 years
162107,2,10+ years
162109,1,10+ years
162111,0,8 years
162113,2,7 years
162115,2,10+ years
162116,2,7 years
162118,1,10+ years
162120,1,7 years
162122,2,6 years
162124,2,10+ years
162130,0,10+ years
162131,0,6 years
162132,1,7 years
162134,2,10+ years
162135,1,10+ years
162136,0,10+ years
162138,2,10+ years
162139,2,7 years
162140,1,8 years
162144,2,8 years
162145,2,10+ years
162146,1,10+ years
162148,2,10+ years
162150,2,10+ years
162151,0,10+ years
162156,1,10+ years
162157,1,10+ years
162158,0,6 years
162160,0,10+ years
162166,2,10+ years
162167,0,10+ years
162168,1,6 years
162173,1,10+ years
162176,0,10+ years
162177,2,9 years
162179,2,10+ years
162181,0,10+ years
162182,0,10+ years
162183,0,10+ years
162186,0,10+ years
162190,2,10+ years
162191,2,10+ years
162192,1,10+ years
162194,1,10+ years
162195,1,10+ years
162198,0,10+ years
162199,1,10+ years
162201,2,10+ years
162203,0,7 years
162207,1,7 years
162208,2,6 years
162209,2,10+ years
162214,2,10+ years
162216,2,10+ years
162218,2,7 years
162220,1,10+ years
162222,1,10+ years
162223,0,10+ years
162225,1,10+ years
162226,1,10+ years
162228,2,10+ years
162229,1,10+ years
162232,0,8 years
162233,1,7 years
162236,2,8 years
162238,2,10+ years
162240,1,10+ years
162245,2,10+ years
162246,2,10+ years
162247,0,10+ years
162248,0,10+ years
162258,0,9 years
162259,2,9 years
162263,0,10+ years
162265,1,10+ years
162266,1,7 years
162274,1,9 years
162276,1,9 years
162285,1,10+ years
162288,1,10+ years
162291,1,10+ years
162292,1,10+ years
162293,2,10+ years
162295,2,10+ years
162296,0,7 years
162298,1,10+ years
162299,2,10+ years
162300,1,10+ years
162302,1,10+ years
162304,1,10+ years
162306,1,10+ years
162307,2,10+ years
162308,1,6 years
162309,2,7 years
162310,2,8 years
162312,2,10+ years
162314,0,8 years
162315,2,10+ years
162316,1,10+ years
162317,0,10+ years
162319,1,10+ years
162320,0,8 years
162330,1,7 years
162333,1,10+ years
162334,1,6 years
162338,0,6 years
162339,1,10+ years
162341,0,10+ years
162342,2,10+ years
162344,1,9 years
162345,0,6 years
162346,1,10+ years
162347,1,8 years
162353,1,6 years
162355,1,10+ years
162360,1,9 years
162362,2,10+ years
162363,2,10+ years
162364,2,10+ years
162368,0,10+ years
162371,1,10+ years
162372,0,8 years
162373,0,10+ years
162374,0,10+ years
162377,2,6 years
162378,2,9 years
162379,1,10+ years
162381,2,10+ years
162382,2,7 years
162383,1,10+ years
162385,0,10+ years
162387,2,10+ years
162389,1,10+ years
162390,1,10+ years
162391,2,6 years
162393,1,8 years
162395,1,6 years
162396,1,10+ years
162397,2,10+ years
162398,0,10+ years
162400,2,10+ years
162404,0,10+ years
162405,0,10+ years
162406,2,10+ years
162407,1,9 years
162412,0,10+ years
162420,2,7 years
162422,0,10+ years
162424,0,10+ years
162426,2,10+ years
162427,2,10+ years
162429,1,10+ years
162430,0,10+ years
162433,1,10+ years
162435,0,10+ years
162439,0,10+ years
162440,1,10+ years
162441,1,8 years
162442,2,10+ years
162444,0,10+ years
162447,0,10+ years
162449,1,10+ years
162450,0,10+ years
162451,0,10+ years
162452,0,6 years
162454,2,10+ years
162459,0,10+ years
162460,2,10+ years
162463,2,10+ years
162465,0,6 years
162467,1,10+ years
162468,2,10+ years
162469,2,6 years
162470,0,10+ years
162471,1,7 years
162472,0,10+ years
162475,2,7 years
162477,0,10+ years
162478,0,10+ years
162481,0,8 years
162482,0,6 years
162484,1,9 years
162486,0,10+ years
162495,0,10+ years
162496,1,10+ years
162497,2,10+ years
162499,1,6 years
162500,1,6 years
162501,1,10+ years
162502,2,10+ years
162504,1,6 years
162507,2,7 years
162508,1,10+ years
162509,2,9 years
162511,0,10+ years
162514,1,7 years
162519,2,6 years
162520,0,10+ years
162521,1,10+ years
162522,1,7 years
162523,1,10+ years
162530,1,10+ years
162531,1,10+ years
162533,2,10+ years
162535,1,10+ years
162536,0,10+ years
162538,1,7 years
162539,1,10+ years
162544,1,9 years
162545,2,10+ years
162546,1,10+ years
162547,2,10+ years
162549,1,10+ years
162551,1,7 years
162552,2,10+ years
162553,0,10+ years
162555,1,10+ years
162561,2,10+ years
162563,1,10+ years
162569,2,10+ years
162570,0,6 years
162572,0,6 years
162573,2,10+ years
162574,0,10+ years
162576,1,7 years
162578,2,10+ years
162579,2,10+ years
162580,1,10+ years
162581,2,10+ years
162583,0,10+ years
162589,1,10+ years
162590,1,7 years
162591,1,10+ years
162592,2,10+ years
162593,0,10+ years
162595,1,10+ years
162596,2,9 years
162599,0,6 years
162600,0,10+ years
162603,2,8 years
162605,0,6 years
162609,1,10+ years
162610,1,10+ years
162612,1,6 years
162614,2,10+ years
162619,1,10+ years
162620,0,10+ years
162623,1,10+ years
162625,1,10+ years
162626,0,10+ years
162627,0,10+ years
162628,0,10+ years
162631,2,10+ years
162632,2,10+ years
162635,0,6 years
162636,2,10+ years
162637,2,10+ years
162640,2,10+ years
162641,0,10+ years
162642,0,7 years
162643,2,10+ years
162644,2,10+ years
162645,1,9 years
162647,1,7 years
162650,1,10+ years
162651,2,9 years
162652,0,10+ years
162656,0,9 years
162658,0,10+ years
162660,1,10+ years
162662,1,8 years
162663,0,10+ years
162664,1,8 years
162665,1,10+ years
162667,1,10+ years
162670,0,10+ years
162671,1,7 years
162674,1,10+ years
162678,0,7 years
162680,1,8 years
162682,1,10+ years
162684,1,7 years
162685,2,10+ years
162687,2,8 years
162688,2,10+ years
162689,0,9 years
162691,1,8 years
162692,1,10+ years
162694,1,6 years
162695,2,10+ years
162699,1,7 years
162701,1,8 years
